apps_sydney_2017/data/country_data/br	year	month	day	focal_depth	magnitute	country	location_name	latitude	longitude	deaths	missing	injuries	damage_millions_dollars			damage_description	houses_destroyed	houses_destroyed_description	houses_damaged	houses_damaged_description	total_deaths	total_deaths_description	total_missing	total_missing_description	total_injuries	total_injuries_description	total_damage_millions_dollars	total_damage_range	total_damage_description	total_houses_destroyed	total_houses_damaged
	2009	1	21	10	4.6	peru	peru:  paccha	-11.779	-75.626							2	50	1	500	3								~$1 to $5 Million	2	50	500
Tsu	2009	2	11	22	7.2	indonesia	indonesia:  kepulauan talaud	3.884	126.397			64				2			597	3					64	2		~$1 to $5 Million	2		597
	2009	2	20	10	5.4	pakistan	pakistan; india:  kashmir	34.204	73.899			44				1									44	1		Less than $1 Million	1		
	2009	2	20	17	5.5	china	china:  xinjiang province	40.657	78.692							3	5613	4	331	3								~$5 to $24 Million	3	331	5613
Tsu	2009	3	19	34	7.6	tonga	tonga islands	-23.046	-174.659																			#N/A			
	2009	3	26	10	4.1	india	india:  chaibasa	22.399	85.903			5				1									5	1		Less than $1 Million	1		
	2009	3	31	36	4.4	nicaragua	nicaragua:  san juan del rio coco	13.452	-86.06							1	3	1	10	1								~$1 to $5 Million	2	3	10
	2009	4	6	9	6.3	italy	italy:  l'aquila	42.334	13.334	309		1500	2500			4	15000	4			309	3			1500	4	2500	$25 Million or more	4	15000	
	2009	4	7	15	5.5	italy	italy:  l'aquila	42.275	13.464	1						1				1	1	1						Less than $1 Million	1		
	2009	4	9	44	5.2	india	india:  jaisalmer	27.143	70.749			6				2									6	1		~$1 to $5 Million	2		
	2009	4	16	6	5.4	afghanistan	afghanistan:  nangarhar	34.185	70.076	19		51				2	200	3	200	3	19	1			51	2		~$1 to $5 Million	2	200	
	2009	5	17	10	4.6	saudi arabia	saudi arabia: western	25.212	37.597							1		2										Less than $1 Million	1		
	2009	5	19	2	5.7	saudi arabia	saudi arabia: western	25.292	37.744			7													7	1		#N/A			
	2009	5	19	21	4.9	india	india:  kashmir	33.198	75.787							1												Less than $1 Million	1		100
	2009	5	24	0	5.3	macedonia	balkans nw:  macedonia	41.303	22.714							2												~$1 to $5 Million	2		
Tsu	2009	5	28	10	7.3	honduras	honduras:  northern; belize	16.72	-86.236	7		40				2	135	3	25	1	7	1			40	1		~$1 to $5 Million	2	135	25
	2009	5	29	13	5.7	vanuatu	vanuatu islands:  tongoa	-17.026	168.329			10				1		2		2					10	1		Less than $1 Million	1		
	2009	6	2	15	6.3	vanuatu	vanuatu islands:  tongoa	-17.757	167.949			4				1									4	1		Less than $1 Million	1		
	2009	6	13	15	5.4	kazakhstan	kazakhstan:  tekeli	44.724	78.864	1						1				2	1	1						Less than $1 Million	1		
	2009	7	4	38	6	panama	panama: panama city	9.59	-78.966			32				1									32	1		Less than $1 Million	1		10
	2009	7	9	7	5.7	china	china:  yunnan province:  yaoan county	25.632	101.095			336				3									336	3		~$5 to $24 Million	3		
Tsu	2009	7	15	12	7.8	new zealand	new zealand:  off west coast of south island	-45.762	166.562							1												Less than $1 Million	1		
	2009	7	24	13	5.8	china	china: tibet (xizang province):   gyungcan	31.158	85.902							1	6	1	6	1								Less than $1 Million	1	6	
	2009	8	8	10	3.4	china	china:  chongqing province:  rongchang	29.358	105.438	2		1				2	440	3	440	3	2	1			1	1		~$1 to $5 Million	2	440	
Tsu	2009	8	10	5	7.5	india	india:  andaman i	14.099	92.888																			#N/A			
Tsu	2009	8	10	40	6.4	japan	japan:  honshu:  s coast	34.743	138.264	1		123				3			5192	4	1	1			123	3		~$5 to $24 Million	3		5192
Tsu	2009	8	16	20	6.7	indonesia	indonesia:  sumatra:  padang	-1.479	99.49			9													9	1		#N/A			
	2009	8	28	13	6.2	china	china:  qinghai province	37.696	95.718							1												Less than $1 Million	1		30
