city_name	latitude	longitude	feature_class	feature_code	country_code	population	elevation	average_elevation	timezone		
Kunduz	36.72895	68.857	P	PPLA	AF	161902		402	Asia/Kabul		
Khoshi	33.99916	69.21582	P	PPLA2	AF	0		2252	Asia/Kabul		
Khoshamand	32.68567	68.23801	P	PPLA2	AF	0		2011	Asia/Kabul		
Khwajah Ghar	37.06588	69.42126	P	PPLA2	AF	0		512	Asia/Kabul		
Khwajah Du Koh	36.82881	65.62432	P	PPLA2	AF	0		307	Asia/Kabul		
Deh Khwahan	37.88965	70.21875	P	PPLA2	AF	0		1047	Asia/Kabul		
Khulbisat	33.4948	70.00605	P	PPLA2	AF	0		1148	Asia/Kabul		
Khugyani	31.56267	66.5814	P	PPLA2	AF	0		1311	Asia/Kabul		
Khost	33.33951	69.92041	P	PPLA	AF	96123		1183	Asia/Kabul		
Khulm	36.69736	67.69826	P	PPLA2	AF	64933		445	Asia/Kabul		
Khudaydad Khel	35.17835	67.68758	P	PPLA2	AF	0		2030	Asia/Kabul		
Khinjan	35.58908	68.90093	P	PPLA2	AF	0		1132	Asia/Kabul		
Khinj	35.42898	69.73482	P	PPLA2	AF	0		2225	Asia/Kabul		
Khash	31.52919	62.79055	P	PPL	AF	15133		579	Asia/Kabul		
Khan Neshin	30.5488	63.7888	P	PPLA2	AF	0		635	Asia/Kabul		
Khanaqah	36.62587	69.53695	P	PPLA2	AF	0		1378	Asia/Kabul		
Chahar Bagh	37.00108	65.22392	P	PPLA2	AF	0		284	Asia/Kabul		
Khandud	36.95127	72.318	P	PPLA2	AF	5521		2807	Asia/Kabul		
Khanaqah	36.86279	66.16656	P	PPLA2	AF	0		299	Asia/Kabul		
Khanabad	36.6825	69.11556	P	PPL	AF	71531		503	Asia/Kabul		
Khamyab	37.5275	65.75833	P	PPLA2	AF	0		254	Asia/Kabul		
Khakiran	32.8385	67.07377	P	PPLA2	AF	0		2673	Asia/Kabul		
Kazhah	34.24088	70.18274	P	PPLA2	AF	0		1276	Asia/Kabul		
Kishk-e Nakhud	31.62519	65.05511	P	PPLA2	AF	0		944	Asia/Kabul		
Karukh	34.48108	62.5863	P	PPLA2	AF	17484		1340	Asia/Kabul		
Kanday	34.9536	70.77897	P	PPLA2	AF	0		1222	Asia/Kabul		
Kandahar	31.61332	65.71013	P	PPLA	AF	391190		1007	Asia/Kabul		
Kalan Deh	33.83676	68.40233	P	PPLA2	AF	0		2502	Asia/Kabul		
Kalakan	34.78371	69.15001	P	PPLA2	AF	0		1593	Asia/Kabul		
Kalafgan	36.77226	69.94489	P	PPLA2	AF	0		1590	Asia/Kabul		
Kajran	33.20357	65.47311	P	PPLA2	AF	0		1364	Asia/Kabul		
Kai	34.12819	70.71828	P	PPLA2	AF	0		945	Asia/Kabul		
Kabul	34.52813	69.17233	P	PPLC	AF	3043532		1798	Asia/Kabul		
Jurm	36.86477	70.83421	P	PPLA2	AF	12106		1564	Asia/Kabul		
Jawand	35.06361	64.14917	P	PPLA2	AF	0		945	Asia/Kabul		
Jani Khel	32.76315	68.39722	P	PPLA2	AF	0		2048	Asia/Kabul		
Jalrez	34.4708	68.65438	P	PPLA2	AF	0		2347	Asia/Kabul		
Jalalabad	34.42647	70.45153	P	PPLA	AF	200331		575	Asia/Kabul		
Jabal os Saraj	35.11833	69.23778	P	PPL	AF	15032		1612	Asia/Kabul		
Hukumat-e Shinkai	31.98303	67.33558	P	PPLA2	AF	0		1936	Asia/Kabul		
Herat	34.34817	62.19967	P	PPLA	AF	272806		927	Asia/Kabul		
Haji Khel	35.10922	69.43341	P	PPLA2	AF	0		1914	Asia/Kabul		
Hafiz Moghul	37.05643	70.40061	P	PPLA2	AF	0		1700	Asia/Kabul		
Khafizan	34.28665	70.37247	P	PPLA2	AF	0		909	Asia/Kabul		
Guzarah	34.21223	62.21235	P	PPLA2	AF	0		983	Asia/Kabul		
Goshtah	34.35822	70.76264	P	PPLA2	AF	0		483	Asia/Kabul		
Gomal Kelay	32.50989	68.85598	P	PPLA2	AF	0		1827	Asia/Kabul		
`Alaqahdari Gelan	32.72692	67.63696	P	PPLA2	AF	0		1987	Asia/Kabul		
Ghoriyan	34.3448	61.49321	P	PPLA2	AF	0		796	Asia/Kabul		
Ghormach	35.73062	63.78264	P	PPLA2	AF	30000		659	Asia/Kabul		
Ghurayd Gharame	36.5222	70.79063	P	PPLA2	AF	0		1884	Asia/Kabul		
Ghazni	33.55391	68.42096	P	PPLA	AF	141000		2179	Asia/Kabul		
Gereshk	31.82089	64.57005	P	PPLA2	AF	43588		830	Asia/Kabul		
Gardez	33.59744	69.22592	P	PPLA	AF	103601		2308	Asia/Kabul		
Fayzabad	37.11664	70.58002	P	PPLA	AF	44421		1210	Asia/Kabul		
Faizabad	36.82091	66.45921	P	PPLA2	AF	0		312	Asia/Kabul		
Fayzabad	36.29111	64.86222	P	PPLA2	AF	0		495	Asia/Kabul		
Qal`ah-ye Farsi	33.78529	63.24735	P	PPLA2	AF	0		2286	Asia/Kabul		
Farkhar	36.57288	69.85783	P	PPLA2	AF	10480		1153	Asia/Kabul		
Farah	32.37451	62.11638	P	PPLA	AF	43561		662	Asia/Kabul		
Istalif	34.83268	69.07756	P	PPLA2	AF	0		1891	Asia/Kabul		
Kafir Qala	34.66667	61.06667	P	PPL	AF	18086		726	Asia/Kabul		
Injil	34.30157	62.2465	P	PPLA2	AF	0		937	Asia/Kabul		
Imam Sahib	37.18897	68.93644	P	PPLA2	AF	9659		358	Asia/Kabul		
Doshi	35.60918	68.68473	P	PPLA2	AF	0		836	Asia/Kabul		
Dowlatyar	34.55132	65.79302	P	PPLA2	AF	0		2456	Asia/Kabul		
Dowlat Shah	34.9504	70.07102	P	PPLA2	AF	0		1551	Asia/Kabul		
Dowlatabad	36.98821	66.82069	P	PPLA2	AF	0		312	Asia/Kabul		
Dowlatabad	36.43259	64.92071	P	PPLA2	AF	0		413	Asia/Kabul		
Du Qal`ah	32.14237	61.4469	P	PPLA2	AF	0		557	Asia/Kabul		
Duab	35.56277	67.82191	P	PPLA2	AF	0		2238	Asia/Kabul		
De Narkhel Kelay	32.43205	65.63484	P	PPLA2	AF	0		1478	Asia/Kabul		
Dehi	35.95806	67.27998	P	PPLA2	AF	0		1271	Asia/Kabul		
Deh-e Salah	35.69031	69.31511	P	PPLA2	AF	0		1632	Asia/Kabul		
Deh-e Now	34.74767	69.04784	P	PPLA2	AF	0		1974	Asia/Kabul		
Dehdadi	36.66319	66.99339	P	PPLA2	AF	0		398	Asia/Kabul		
Dwah Manday	33.28159	69.58531	P	PPLA2	AF	0		1543	Asia/Kabul		
Dasht-e Qal`ah	37.1539	69.4435	P	PPLA2	AF	0		449	Asia/Kabul		
Dasht-e Qal`ah	33.02978	63.8395	P	PPLA2	AF	0		1718	Asia/Kabul		
Dasht-e Archi	37.13333	69.16667	P	PPL	AF	8263		379	Asia/Kabul		
Darzab	35.97744	65.37828	P	PPLA2	AF	9642		1179	Asia/Kabul		
Markaz-e Hukumat-e Darweshan	31.13231	64.1934	P	PPL	AF	9012		714	Asia/Kabul		
Darqad	37.38414	69.45294	P	PPLA2	AF	0		435	Asia/Kabul		
Darayim	36.86667	70.38333	P	PPLA2	AF	0		1693	Asia/Kabul		
Dangam	34.99249	71.41935	P	PPLA2	AF	0		1250	Asia/Kabul		
Dandar	34.79095	69.47504	P	PPLA2	AF	0		1724	Asia/Kabul		
Hukumati Dahanah-ye Ghori	35.90617	68.48869	P	PPLA2	AF	3307		801	Asia/Kabul		
Tsowkey	34.69246	70.92688	P	PPLA2	AF	0		725	Asia/Kabul		
Chiras	35.41674	65.98234	P	PPL	AF	12779		2691	Asia/Kabul		
Chisht-e Sharif	34.34731	63.73966	P	PPLA2	AF	0		1572	Asia/Kabul		
Chinar	32.01583	65.10721	P	PPLA2	AF	0		1132	Asia/Kabul		
Chimtal	36.67818	66.80325	P	PPLA2	AF	0		355	Asia/Kabul		
Charkh	33.79712	68.93749	P	PPLA2	AF	0		2081	Asia/Kabul		
Charikar	35.01361	69.17139	P	PPLA	AF	53676		1554	Asia/Kabul		
Dowr-e Rabat	36.69132	68.79093	P	PPLA2	AF	0		390	Asia/Kabul		
Tsaperai	33.83003	69.9192	P	PPLA2	AF	0		1679	Asia/Kabul		
Tsamkani	33.80298	69.81671	P	PPLA2	AF	0		1716	Asia/Kabul		
Chakaray	34.34099	69.4377	P	PPLA2	AF	0		2372	Asia/Kabul		
Chakaran	36.91112	71.0688	P	PPLA2	AF	0		1759	Asia/Kabul		
Chahar Qal`ah	33.55267	68.29828	P	PPLA2	AF	0		2376	Asia/Kabul		
Chahar Burj	34.24475	62.19165	P	PPL	AF	11935		943	Asia/Kabul		
Chah Ab	37.39773	69.81464	P	PPLA2	AF	0		1034	Asia/Kabul		
Fayroz Koh	34.51952	65.25093	P	PPLA	AF	15000		2263	Asia/Kabul		
Bulolah	34.87706	68.0879	P	PPLA2	AF	0		2430	Asia/Kabul		
Bal Chiragh	35.84026	65.2309	P	PPLA2	AF	0		1163	Asia/Kabul		
Bazar-e Talah	35.39205	68.22317	P	PPLA2	AF	0		1206	Asia/Kabul		
Basawul	34.24749	70.87218	P	PPLA2	AF	6835		464	Asia/Kabul		
Burkah	36.22242	69.15037	P	PPLA2	AF	0		1188	Asia/Kabul		
Barg-e Matal	35.67283	71.34339	P	PPLA2	AF	0		2077	Asia/Kabul		
Baraki Barak	33.96744	68.9492	P	PPLA2	AF	22305		1940	Asia/Kabul		
Banu	35.63348	69.26019	P	PPLA2	AF	0		1510	Asia/Kabul		
Bamyan	34.82156	67.82734	P	PPLA	AF	61863		2550	Asia/Kabul		
Balkh	36.75635	66.8972	P	PPLA2	AF	114883		348	Asia/Kabul		
Baharak	37.00254	70.90664	P	PPLA2	AF	0		1552	Asia/Kabul		
Bagrami	34.49376	69.27427	P	PPLA2	AF	0		1788	Asia/Kabul		
Baghlan	36.13068	68.70829	P	PPLA2	AF	108449		531	Asia/Kabul		
Hukumati Azrah	34.17355	69.64573	P	PPLA2	AF	12526		2330	Asia/Kabul		
